Average retail price of electricity monthly,,,,,,
https://www.eia.gov/electricity/data/browser/#/topic/7?agg=0,1&geo=g&endsec=vg&linechart=ELEC.PRICE.US-ALL.M~ELEC.PRICE.US-RES.M~ELEC.PRICE.US-COM.M~ELEC.PRICE.US-IND.M~ELEC.PRICE.US-TRA.M~ELEC.PRICE.US-OTH.M&columnchart=ELEC.PRICE.US-ALL.M~ELEC.PRICE.US-RES.M~ELEC.PRICE.US-COM.M~ELEC.PRICE.US-IND.M&map=ELEC.PRICE.US-ALL.M&freq=M&start=200101&end=201708&ctype=linechart&ltype=pin&rtype=s&maptype=0&pin=&rse=0,,,,,
20:39:48 GMT-0800 (Pacific Standard Time),,,,,,
Data source: U.S. Energy Information Administration,,,,,,
Month,United States : all sectors cents per kilowatthour,United States : residential cents per kilowatthour,United States : commercial cents per kilowatthour,United States : industrial cents per kilowatthour,United States : transportation cents per kilowatthour,United States : other cents per kilowatthour
Aug-17,10.98,13.19,11.04,7.25,10.07,
Jul-17,11.02,13.12,11,7.33,10.19,
Jun-17,10.87,13.22,10.99,7.22,10.21,
May-17,10.37,13.02,10.58,6.81,9.58,
Apr-17,10.1,12.7,10.4,6.6,9.44,
Mar-17,10.34,12.9,10.48,6.74,9.48,
Feb-17,10.33,12.82,10.48,6.63,9.47,
Jan-17,10.15,12.22,10.19,6.57,9.32,
Dec-16,10.07,12.21,10.08,6.63,9.4,
Nov-16,10.11,12.75,10.24,6.66,9.04,
Oct-16,10.15,12.46,10.47,6.72,9.43,
Sep-16,10.69,12.87,10.7,7.15,9.83,
Aug-16,10.83,12.9,10.71,7.23,9.89,
Jul-16,10.71,12.68,10.62,7.23,9.63,
Jun-16,10.53,12.72,10.59,7.03,9.59,
May-16,10.07,12.79,10.25,6.56,9.13,
Apr-16,9.83,12.43,10.13,6.4,9.41,
Mar-16,10.02,12.57,10.16,6.47,9.43,
Feb-16,10,12.14,10.2,6.39,9.49,
Jan-16,9.96,11.98,10.02,6.4,9.41,
Dec-15,9.98,12.32,10.13,6.45,9.81,
Nov-15,10.05,12.71,10.3,6.61,9.63,
Oct-15,10.31,12.72,10.73,6.88,9.91,
Sep-15,10.79,13.03,10.98,7.21,10.29,
Aug-15,10.85,12.91,10.94,7.35,10.14,
Jul-15,10.95,12.94,11.07,7.45,10.34,
Jun-15,10.64,12.92,10.89,7.11,10.15,
May-15,10.21,12.93,10.47,6.74,9.87,
Apr-15,10.01,12.62,10.37,6.61,9.76,
Mar-15,10.29,12.33,10.63,6.83,10.12,
Feb-15,10.36,12.29,10.62,6.88,10.49,
Jan-15,10.18,12.1,10.31,6.67,10.45,
Dec-14,10.12,12.17,10.36,6.7,10.48,
Nov-14,10.13,12.48,10.52,6.75,10.2,
Oct-14,10.34,12.6,10.83,7.07,10.27,
Sep-14,10.83,12.95,11.16,7.37,11.02,
Aug-14,10.91,13.04,11.05,7.51,10.02,
Jul-14,11.03,13.09,11.17,7.62,10.68,
Jun-14,10.75,12.99,10.96,7.39,10.6,
May-14,10.21,12.85,10.54,6.83,10.06,
Apr-14,10,12.31,10.46,6.77,10.23,
Mar-14,10.28,12.25,10.65,6.99,10.43,
Feb-14,10.33,11.94,10.68,7.12,10.41,
Jan-14,10.12,11.65,10.35,6.98,10.93,
Dec-13,9.86,11.72,9.96,6.66,10.2,
Nov-13,9.79,12.1,10.03,6.65,10.49,
Oct-13,10.02,12.36,10.28,6.87,10.46,
Sep-13,10.43,12.51,10.53,7.22,10.88,
Aug-13,10.58,12.53,10.69,7.37,10.77,
Jul-13,10.69,12.65,10.7,7.45,10.97,
Jun-13,10.45,12.54,10.65,7.25,10.76,
May-13,9.92,12.4,10.22,6.75,10.5,
Apr-13,9.66,11.93,9.96,6.58,10.28,
Mar-13,9.71,11.61,10.02,6.64,10.25,
Feb-13,9.77,11.63,10.06,6.66,10.56,
Jan-13,9.64,11.46,9.77,6.5,10.53,
Dec-12,9.64,11.62,9.81,6.52,10.28,
